Data;TempMin;TempMax;TempMedia;Vento;Direcao
01/01/2020;17;28;22.5;10;S
02/01/2020;18;29;23.5;12;L
03/01/2020;15;24.9;19.95;13;L
04/01/2020;14.6;24.8;19.7;25;L
05/01/2020;18.6;27.9;23.25;26;N
06/01/2020;20.3;32.7;26.5;10;N
07/01/2020;18.9;31.7;25.3;1;O
08/01/2020;21.8;31;26.4;4;S
09/01/2020;18;29.6;23.8;9;O
10/01/2020;19;32.4;25.7;8;O
11/01/2020;16.3;28.6;22.45;60;S
12/01/2020;16.9;29;22.95;41;O
13/01/2020;17.3;29.4;23.35;20;N
14/01/2020;14;28.4;21.2;26;N
15/01/2020;14;27;20.5;12;O
16/01/2020;15.9;27.5;21.7;15;O
17/01/2020;16.8;26.7;21.75;18;L
18/01/2020;16.9;27;21.95;20;L
19/01/2020;17.5;28.4;22.95;12;L
20/01/2020;17.3;26.4;21.85;10;O
21/01/2020;19.5;29.2;24.35;3;O
22/01/2020;19.4;30.2;24.8;3;O
23/01/2020;20;31.8;25.9;4;S
24/01/2020;21;33;27;6;S
25/01/2020;20.6;33.4;27;12;N
26/01/2020;18.4;30.8;24.6;18;O
27/01/2020;15.6;27.1;21.35;2;L
28/01/2020;15.8;26.1;20.95;1;S
29/01/2020;16.4;29.1;22.75;1;N
30/01/2020;18.3;29.9;24.1;9;O
31/01/2020;19;31.9;25.45;4;L
